,Year,Cost,Energy Cost,Capacity,Energy Source
275,2005,,Concentrated solar power levelized cost of energy,685.55,Offshore wind energy
276,2005,,Concentrated solar power levelized cost of energy,4548.119,Solar photovoltaic
277,2005,,Concentrated solar power levelized cost of energy,388.4,Concentrated solar power
278,2005,,Concentrated solar power levelized cost of energy,43148.346,Bioenergy
279,2005,,Concentrated solar power levelized cost of energy,8568.265,Geothermal
280,2005,,Hydropower levelized cost of energy,870942.2869,Hydropower
281,2005,,Hydropower levelized cost of energy,57721.575,Onshore wind energy
282,2005,,Hydropower levelized cost of energy,685.55,Offshore wind energy
283,2005,,Hydropower levelized cost of energy,4548.119,Solar photovoltaic
284,2005,,Hydropower levelized cost of energy,388.4,Concentrated solar power
285,2005,,Hydropower levelized cost of energy,43148.346,Bioenergy
286,2005,,Hydropower levelized cost of energy,8568.265,Geothermal
287,2005,0.10943693,Onshore wind levelized cost of energy,870942.2869,Hydropower
288,2005,0.10943693,Onshore wind levelized cost of energy,57721.575,Onshore wind energy
289,2005,0.10943693,Onshore wind levelized cost of energy,685.55,Offshore wind energy
290,2005,0.10943693,Onshore wind levelized cost of energy,4548.119,Solar photovoltaic
291,2005,0.10943693,Onshore wind levelized cost of energy,388.4,Concentrated solar power
292,2005,0.10943693,Onshore wind levelized cost of energy,43148.346,Bioenergy
293,2005,0.10943693,Onshore wind levelized cost of energy,8568.265,Geothermal
294,2006,,Bioenergy levelized cost of energy,895030.3889,Hydropower
295,2006,,Bioenergy levelized cost of energy,72277.123,Onshore wind energy
296,2006,,Bioenergy levelized cost of energy,883.55,Offshore wind energy
297,2006,,Bioenergy levelized cost of energy,6093.193,Solar photovoltaic
298,2006,,Bioenergy levelized cost of energy,412.4,Concentrated solar power
299,2006,,Bioenergy levelized cost of energy,47167.633,Bioenergy
300,2006,,Bioenergy levelized cost of energy,8796.365,Geothermal
301,2006,,Geothermal levelized cost of energy,895030.3889,Hydropower
302,2006,,Geothermal levelized cost of energy,72277.123,Onshore wind energy
303,2006,,Geothermal levelized cost of energy,883.55,Offshore wind energy
304,2006,,Geothermal levelized cost of energy,6093.193,Solar photovoltaic
305,2006,,Geothermal levelized cost of energy,412.4,Concentrated solar power
306,2006,,Geothermal levelized cost of energy,47167.633,Bioenergy
